date,AM Peak,PM Peak,7am-7pm,24 hr,flow
2022-04-04,5,10,20,35,2232
2022-04-05,0,0,25,25,2289
2022-04-06,5,5,20,35,2477
2022-04-07,0,5,30,35,2650
2022-04-08,5,5,25,45,2461
2022-04-09,0,5,30,35,2448
2022-04-10,0,0,10,10,2200
2022-04-11,0,0,30,45,2564
2022-04-12,0,0,5,15,2686
2022-04-13,0,0,45,45,2728
2022-04-14,0,10,25,25,2481
2022-04-15,5,0,30,45,2572
2022-04-16,0,10,45,60,2545
2022-04-17,0,5,15,20,2303
2022-04-18,0,0,15,30,2176
2022-04-19,5,0,30,35,2199
2022-04-20,10,5,85,90,2440
2022-04-21,0,5,30,35,2234
2022-04-22,5,5,10,20,2473
2022-04-23,0,0,30,35,1918
2022-04-24,0,0,15,15,2157
2022-04-25,0,10,15,15,2665
2022-04-26,5,5,20,20,2318
2022-04-27,15,5,30,30,2848
2022-04-28,10,5,40,50,2337
2022-04-29,15,10,60,70,2298
2022-04-30,10,5,35,40,2658
2022-05-01,0,0,20,25,2875
2022-05-02,0,0,5,10,2520
2022-05-03,0,0,25,30,2230
2022-05-04,5,5,40,50,2747
2022-05-05,0,10,30,35,2451
2022-05-06,0,5,30,30,2755
2022-05-07,0,10,20,20,2710
2022-05-08,0,0,10,10,2867
2022-05-09,15,5,35,40,2716
2022-05-10,10,0,30,30,2594
2022-05-11,5,5,20,20,3726
2022-05-12,5,5,20,30,2600
2022-05-13,0,0,30,40,2690
2022-05-14,5,10,35,35,2830
2022-05-15,0,0,25,25,2274
2022-05-16,0,0,50,50,3289
2022-05-17,0,0,30,35,2978
2022-05-18,10,0,30,35,2535
2022-05-19,10,5,35,40,2399
2022-05-20,0,10,30,35,2874
2022-05-21,0,5,40,40,2508
2022-05-22,0,0,0,0,2616
