BW A34 Walsall Rd NB at Clivedon Ave (Perry Barr),10022,10146,10055,10008,10727,9493,7283,9779,10197,10471,10060,10642,9740,8354
BW Margaret St NB to A4400 Great Charles St Queensway (City Centre),2533,2732,2623,2604,3075,2950,1795,2051,2655,2824,2794,2982,2668,1788
BE A45 Coventry Rd EB (Yardley Heybarnes),23890,24154,24294,24015,25225,21372,17666,23138,23755,23007,23411,23871,21342,17966
BW A453 Aldridge Rd SB at Wellhead Ln (Perry Barr),10889,10888,10872,11125,11709,10531,7905,181,9029,11573,9018
BE A38 Tyburn Rd WB Slip (Erdington),23735,24550,23788,24182,22809,18937,13078,23257,23917,22963,22793,23304,17420,13360
BW Cambridge Street (City Centre),1124,937,1078,903,1253,1816,1100,719,617,574,1297,1464,2088,1514
BE B4138 Sutton Oak Rd (Kingstanding),7513,7780,7645,8213,8246,6098,4367,7384,7737,8154,8084,8012,6442,4992
BW Moseley St at Rea St (City Centre),1650,1664,1416,1552,1534,1430,1284,1516,1423,1304,1315,1457,1719,1391
BE A38 Tyburn Rd EB (Bromford),21983,22615,24035,23291,23852,17065,14372,22746,23530,21899,22306,22454,17075,12837
BW Newtown Row IB (City Centre),9071,9088,8140,8772,9518,8079,5925,8528,9083,9430,9473,9864,8652,6745
BE A4167 Highgate Rd (Sparkbrook),20052,19968,20150,20632,19965,18357,14828,20292,19896,20414,20209,20992,19369,17075
BE A4040 Marsh Hill WB (Erdington),7017,7082,7231,7248,7763,6221,4513,6882,7122,7238,7232,7787,6241,4834
BW A5127 Aston Rd NB (Aston),6897,7350,7195,7087,6738,4878,3572,6416,6803,6939,6664,6448,4775,3745
BW Snow Hill Queensway SB (City Centre),5981,6540,6580,6765,7079,6261,3680,5912,6651,6791,7092,7224,6306,3933
BW A38 Bristol Rd NB at Eastern Rd (Edgbaston),13923,14050,14481,14815,14655,12363,9665,13242,14665,13016,14817,15183,12824,10420
BW A441 Pershore Rd (Edgbaston),22099,22742,22070,22423,24197,22581,18009,22783,16125,19452,23782,24034,23828,19645
BW Station St WB to Dudley St (City Centre),6053,6132,5785,6176,6944,8037,5510,5577,5761,5574,5850,6825,7783,5651
BE A453 College Rd NB to Chester Rd (Erdington),8147,8615,8619,8588,9070,7562,5424,8221,8553,8421,8501,9171,7616,5979
BW Newhall St at A4400 Great Charles St Queensway (City Centre),4811,5048,4976,5440,5979,5499,3745,4513,5325,5286,5419,5933,5512,4091
BW A41 Soho Hill SB (Hockley),14162,14387,14592,14426,15224,13402,10267,13634,14354,14978,14426,14646,12514,11043
BW A45 Small Heath Highway OB (Small Heath),19485,19235,20137,20950,21783,20181,15478,20438,20674,20709,20694,20665,19134,15950
BW Newtown Row OB (City Centre),6662,7006,7237,7282,7100,6030,4688,6641,6714,7143,7302,7576,6789,5476
BW B4144 Rocky Ln (Aston),16162,16719,17057,17452,16191,10432,7652,15351,15828,16186,16137,15811,10325,8190
BE A38 Tyburn Rd EB Slip (Erdington),12842,13469,14633,13636,13696,9270,8125,13265,13853,11997,12846,12953,9619,7738
BE A47 Fort Parkway EB (Castle Vale),15386,15948,15831,16408,16903,12545,8978,16545,17004,16242,15986,15778,12495,9293
BW Church St NB to A4400 Great Charles St Queensway (City Centre),553,550,632,659,607,507,418,475,557,556,617,539,488,387
BE A4040 Bromford Ln NB (Hodge Hill),12809,13120,13125,13074,13478,12180,9148,12323,12879,12606,12814,13240,11639,9194
BE A45 Coventry Rd WB (Yardley Heybarnes),22878,22928,23302,24666,24932,21259,15897,21889,22766,22340,22583,23509,20407,16613
BW B4217 Edgbaston Rd at Cannon Hill Rd (Edgbaston),15671,16744,19470,18403,22364,13629,16378,20358,21468,21957,22338,23033,16976,17526
BW Bradford St at Rea St (City Centre),4791,5204,4825,5045,5664,6010,4129,4771,4720,4846,4813,5608,6814,4517
BW B4144 Villa Rd (Lozells),9086,9120,9087,9197,9468,9652,8103,9153,9341,9440,9255,9673,8876,8422
BW Summer Hill St SB (City Centre),2208,2057,2072,1999,1956,1232,774,1950,2093,2361,2309,2432,1983,1636
BW A456 Hagley Rd IB (Edgbaston),21618,21518,21778,22135,23468,22199,16375,21440,21635,23459,23323,23638,21838,17834
BW A5127 Lichfield Rd NB at Grosvenor Rd (Nechells),6111,6487,6521,6542,6483,4728,3664,6126,6462,6670,6459,6538,4914,3712
BW A4400 St Chads Queensway SB (City Centre),40775,41184,42379,41929,44228,40094,29021,40190,41717,41899,41174,44112,41129,31445
BW B4140 Witton Rd (Aston),11965,11699,11831,12211,12597,10638,7873,10368,10702,10846,10836,11101,10149,8248
BE A38 Kingsbury Rd WB (Erdington),15216,15704,14874,16130,14794,12772,8851,15633,15807,15768,15301,15813,11022,8424
BW Barker St (Lozells),3504,3608,3548,3637,3788,3519,2460,3444,3713,4162,3719,3933,3422,2979
BW A47 Heartlands Parkway WB (Bromford),12808,13415,13361,13778,13829,10898,7384,12894,12835,13016,12927,12907,9794,7545
BW B4135 Parade IB (City Centre),9225,9190,9344,9553,9806,8162,6050,8571,9020,10076,9508,9862,7968,6325
BW A5127 Lichfield Rd NB to M6 J6,12116,12365,12358,12982,13147,10908,8254,12206,12167,12325,12431,13166,11116,8807
BE A34 Stratford Rd (Camp Hill),18958,19126,19401,18985,19686,19805,15394,19084,18374,18306,18518,19185,18857,15845
BW Livery St SB from A4400 Great Charles St Queensway (City Centre),2083,2360,2409,2579,2345,1986,1106,2064,2400,2548,2643,2432,2122,1293
BW Sherlock St (City Centre),14280,14789,13576,14232,15730,16075,12446,14220,13062,14072,14832,16086,16989,13592
BW A38 Bristol Rd South SB (Northfield),13292,13791,13497,14062,14474,12428,9019,13185,13354,13572,13928,13880,12283,9454
BW A441 Pershore Rd (Bournville),17787,17692,17561,18500,19424,17340,12927,15252,17589,17286,17836,18387,17579,14781
BE A34 Stratford Rd (Sparkbrook),22734,22775,23091,22767,23212,24333,19453,22761,22491,22576,22400,23504,22658,20467
BW A38 Corporation St IB (City Centre),35457,36246,37845,37501,38148,34956,24146,35101,36155,36431,36419,37783,35084,26899
BW Aldridge Rd at A453 College Rd (Perry Barr),12884,13351,13520,13823,14225,11469,7815,12952,14063,15323,15021,15502,11908,8901
BW Cheapside at Rea St (City Centre),253,210,217,224,259,228,159,233,196,221,204,223,179,154
BW A453 College Rd NB at Kingstanding Rd (Perry Barr),11631,11947,12015,12291,12730,10763,7755,11357,12077,12545,12286,12728,10682,8435
BW B4100 Constitution Hill (City Centre),16811,17183,17347,17744,18230,15313,11858,16359,16892,17448,17197,18021,16317,13695
BW A4540 Islington Row Middleway WB at Five Ways (City Centre),17723,22391,17314,18570,18704,23632,22026,14098,21280,15693,21346,22396,26338,22373
BW Hurst St at Kent St (City Centre),1309,1458,1420,1401,1631,2375,1762,1446,1383,1420,1494,1813,2384,1909
BW B4127 Holloway Head (City Centre),20454,20201,19901,20924,22576,22495,17307,19773,20396,20887,23441,25261,24678,20272
BE A45 Coventry Rd EB (Yardley Swan),24024,22966,23910,24653,24943,20347,17283,23146,24009,23541,23794,24057,21231,17706
BW A4040 Brookvale Rd (Aston),17659,18090,18983,19282,20372,16161,11327,16997,17439,18078,17514,18809,15834,12378
BW Barford St at MacDonald St (City Centre),470,456,452,564,471,451,358,460,498,412,545,633,603,399
BE A4041 Queslett Rd WB at B4149 Kings Rd (Kingstanding),13681,13893,14143,14306,14519,13113,9796,13999,14036,13965,14467,14790,13370,10734
